"Area","Kind","Name","File","Line"
"WEB","interface","ReprocessAnalyticsInput","apps\web\src\features\analytics-processing\analytics-processing.types.ts","47"
"WEB","interface","ReprocessAnalyticsPayload","apps\web\src\features\analytics-engine\analytics-engine-types.ts","124"
"API","class","ResolveBlockerDto","apps\api\src\modules\development\dto\development.dto.ts","206"
"API","interface","RetentionResult","apps\api\src\modules\analytics-engine\services\analytics-processing.service.ts","50"
"API","interface","RotateSessionInput","apps\api\src\modules\auth\services\auth-sessions.service.ts","24"
"API","interface","SafeHealthRequestInput","apps\api\src\modules\monitoring\services\safe-http-client.service.ts","15"
"API","interface","SafeHealthRequestResult","apps\api\src\modules\monitoring\services\safe-http-client.service.ts","27"
"WEB","interface","SaveHealthCheckInput","apps\web\src\features\monitoring\monitoring.types.ts","125"
"WEB","interface","SaveWebhookInput","apps\web\src\features\integrations\integrations.types.ts","137"
"API","interface","SendInvitationEmailInput","apps\api\src\modules\team-operations\services\invitation-mailer.service.ts","3"
"API","class","SkipWorkItemDto","apps\api\src\modules\development\dto\development.dto.ts","115"
"API","class","TrackerEventDto","apps\api\src\modules\analytics-ingestion\dto\collect-events.dto.ts","21"
"WEB","interface","TrackingStatus","apps\web\src\features\tracking\tracking-types.ts","29"
"API","class","TransferOwnershipDto","apps\api\src\modules\workspace\dto\transfer-ownership.dto.ts","4"
"API","class","TransitionDeploymentDto","apps\api\src\modules\releases\dto\release-deployment.dto.ts","112"
"API","class","UpdateApplicationDto","apps\api\src\modules\applications\dto\application.dto.ts","101"
"API","class","UpdateApplicationLinkDto","apps\api\src\modules\applications\dto\application-link.dto.ts","35"
"WEB","type","UpdateApplicationLinkPayload","apps\web\src\features\applications\application-types.ts","124"
"WEB","type","UpdateApplicationPayload","apps\web\src\features\applications\application-types.ts","96"
"API","class","UpdateApplicationTechnologyDto","apps\api\src\modules\applications\dto\application-technology.dto.ts","28"
"API","class","UpdateBlockerDto","apps\api\src\modules\development\dto\development.dto.ts","185"
"API","class","UpdateHealthCheckDto","apps\api\src\modules\monitoring\dto\health-check.dto.ts","102"
"API","class","UpdateMilestoneDto","apps\api\src\modules\development\dto\development.dto.ts","62"
"API","class","UpdateReleaseDto","apps\api\src\modules\releases\dto\release-deployment.dto.ts","60"
"API","class","UpdateTaskDto","apps\api\src\modules\development\dto\development.dto.ts","107"
"WEB","type","UpdateTechnologyPayload","apps\web\src\features\applications\application-types.ts","116"
"API","interface","UpdateUserProfileInput","apps\api\src\modules\users\users.service.ts","27"
"API","class","UpdateWebhookEndpointDto","apps\api\src\modules\webhooks\dto\webhook.dto.ts","66"
"API","class","UpdateWebsiteDto","apps\api\src\modules\websites\dto\website.dto.ts","73"
"WEB","interface","UpdateWebsitePayload","apps\web\src\features\websites\website-types.ts","54"
"API","class","UpdateWorkspaceDto","apps\api\src\modules\workspace\dto\update-workspace.dto.ts","4"
"API","interface","UpdateWorkspaceInput","apps\api\src\modules\workspace\service\workspaces.service.ts","30"
"API","class","UpdateWorkspaceMemberRoleDto","apps\api\src\modules\workspace\dto\update-workspace-member-role.dto.ts","5"
"WEB","interface","UseAnalyticsOverviewInput","apps\web\src\features\analytics-overview\use-analytics-overview.ts","8"
"API","class","WebhookDeliveryListQueryDto","apps\api\src\modules\webhooks\dto\webhook.dto.ts","68"
"WEB","type","WebhookDeliveryStatus","apps\web\src\features\integrations\integrations.types.ts","11"
"API","interface","WebhookHttpResult","apps\api\src\modules\webhooks\services\webhook-outbound-client.service.ts","14"
"WEB","interface","WebhookListResponse","apps\web\src\features\integrations\integrations.types.ts","69"
"WEB","interface","WebsiteListQuery","apps\web\src\features\websites\website-types.ts","62"
"API","class","WebsiteListQueryDto","apps\api\src\modules\websites\dto\website.dto.ts","81"
"WEB","interface","WebsiteListResponse","apps\web\src\features\websites\website-types.ts","35"
"WEB","interface","WebsitePagination","apps\web\src\features\websites\website-types.ts","26"
"WEB","interface","WebsiteWithKeyResponse","apps\web\src\features\websites\website-types.ts","40"
"API","interface","WorkspaceRequest","apps\api\src\modules\workspace\interfaces\workspace-request.interface.ts","4"
